wiki,article_count
trvwiki,1124
trwiki,515207
tswiki,721
ttwiki,483269
tumwiki,9577
twwiki,2648
tyvwiki,3393
tywiki,1196
udmwiki,5518
ugwiki,5629
ukwiki,1252020
urwiki,187869
uzwiki,222251
vecwiki,69146
vepwiki,6759
vewiki,749
viwiki,1281953
vlswiki,7770
vowiki,33245
warwiki,1266083
wawiki,11745
wowiki,1649
wuuwiki,42788
xalwiki,2048
xhwiki,1275
xmfwiki,19911
yiwiki,15501
yowiki,32151
zawiki,2521
zeawiki,5667
zh_classicalwiki,12235
zh_min_nanwiki,432421
zh_yuewiki,130721
zhwiki,1342330
zuwiki,10895
